reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,Age,date,expName,expVersion,psychopyVersion,frameRate,expStart,
67,75,119,34,6,4,t,2.04535659996327,None,4,6,34,5,77.5642526000156,,77.55519600003026,77.5642526000156,78.54728090000572,78.54728090000572,78.56427249999251,80.59765930002322,t,2.04535659996327,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
11,30,7,35,0,5,l,3.413008900010027,None,5,0,35,0,80.61344039998949,,80.60379449999891,80.61344039998949,81.5972454000148,81.5972454000148,81.6139656000305,85.01482119999127,l,3.413008900010027,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
40,55,62,36,1,5,t,0.8786923000006936,None,5,1,36,3,85.03044030000456,,85.02236080000876,85.03044030000456,86.02993570000399,86.02993570000399,86.02993570000399,86.91481739998562,t,0.8786923000006936,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
27,50,21,37,2,5,l,2.030300799990073,None,5,2,37,2,86.93045879999408,,86.92182220000541,86.93045879999408,87.91400859999703,87.91400859999703,87.93019129999448,89.94790239998838,l,2.030300799990073,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
15,35,13,38,3,5,l,1.3768263999954797,None,5,3,38,1,89.96389600000111,,89.95531160000246,89.96389600000111,90.94712560001062,90.94712560001062,90.96380269998917,92.33099639997818,l,1.3768263999954797,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
78,80,162,39,4,5,t,0.7498037999612279,None,5,4,39,6,92.34707790001994,,92.33781499997713,92.34707790001994,93.34688560001086,93.34688560001086,93.34688560001086,94.09755669999868,t,0.7498037999612279,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
49,60,89,40,5,5,t,0.6508835999993607,None,5,5,40,4,94.11366169998655,,94.10457610001322,94.11366169998655,95.09716090001166,95.09716090001166,95.11345050000818,95.76433039997937,t,0.6508835999993607,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
67,75,119,41,6,5,t,0.9901252000126988,None,5,6,41,5,95.77999050001381,,95.77105829998618,95.77999050001381,96.76361179997912,96.76361179997912,96.78031419997569,97.76450769999065,t,0.9901252000126988,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
11,30,7,42,0,6,l,0.771926999965217,None,6,0,42,0,97.78028770000674,,97.7716567000025,97.78028770000674,98.76362440001685,98.76362440001685,98.78033259999938,99.54743310000049,l,0.771926999965217,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
67,75,119,43,1,6,t,1.0794258000096306,None,6,1,43,5,99.5633336000028,,99.55371840001317,99.5633336000028,100.54671670001699,100.54671670001699,100.5637261000229,101.63078320003115,t,1.0794258000096306,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
15,35,13,44,2,6,l,1.0198868000297807,None,6,2,44,1,101.6468007999938,,101.63859940000111,101.6468007999938,102.6299281999818,102.6299281999818,102.64688040001784,103.66423940000823,l,1.0198868000297807,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
27,50,21,45,3,6,l,1.5163383000181057,None,6,3,45,2,103.68001120002009,,103.6719226000132,103.68001120002009,104.66355420002947,104.66355420002947,104.68014509999193,106.19756360002793,l,1.5163383000181057,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
78,80,162,46,4,6,t,0.7145707000163384,None,6,4,46,6,106.21331870002905,,106.20431870000903,106.21331870002905,107.21319119998952,107.21319119998952,107.21319119998952,107.93052100000205,t,0.7145707000163384,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
49,60,89,47,5,6,t,0.9007536999997683,None,6,5,47,4,107.94667809997918,,107.93745520000812,107.94667809997918,108.92970109998714,108.92970109998714,108.94658300001174,109.84719330002554,t,0.9007536999997683,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
40,55,62,48,6,6,t,1.149167099967599,None,6,6,48,3,109.86305699998047,,109.8564306999906,109.86305699998047,110.86308500001905,110.86308500001905,110.86308500001905,112.01376160001382,t,1.149167099967599,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
78,80,162,49,0,7,t,0.7508880000095814,None,7,0,49,6,112.02990740002133,,112.0208999000024,112.02990740002133,113.0131948000053,113.0131948000053,113.029829600011,113.7806019000127,t,0.7508880000095814,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
11,30,7,50,1,7,l,1.1004046999732964,None,7,1,50,0,113.79635969997616,,113.78749900002731,113.79635969997616,114.77986760000931,114.77986760000931,114.79642770002829,115.89712139999028,l,1.1004046999732964,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
67,75,119,51,2,7,t,1.1512600000132807,None,7,2,51,5,115.91307379998034,,115.90437230002135,115.91307379998034,116.89635519997682,116.89635519997682,116.91307640000014,118.06371170002967,t,1.1512600000132807,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
27,50,21,52,3,7,l,1.4962475000065751,None,7,3,52,2,118.07912300003227,,118.07089079997968,118.07912300003227,119.06312730000354,119.06312730000354,119.07926440000301,120.5635419000173,l,1.4962475000065751,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
15,35,13,53,4,7,t,1.0702418999862857,None,7,4,53,1,120.57960709999315,,120.57046479999553,120.57960709999315,121.56280359998345,121.56280359998345,121.57953260000795,122.64702939998824,t,1.0702418999862857,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
